origin,cylinders,displacement,horsepower,weight,acceleration,year,name,Mileage
3,4,107.0,75,2205,14.5,1982,honda accord,36.000063771556114
3,4,108.0,70,2245,16.9,1982,toyota corolla,34.000060228691886
3,4,91.0,67,1965,15.0,1982,honda civic,38.00006731442034
3,4,91.0,67,1965,15.7,1982,honda civic (auto),32.00005668582766
3,4,91.0,67,1995,16.2,1982,datsun 310 gx,38.00006731442034
1,6,181.0,110,2945,16.4,1982,buick century limited,25.00004428580286
1,6,262.0,85,3015,17.0,1982,oldsmobile cutlass ciera (diesel),38.00006731442034
1,4,156.0,92,2585,14.5,1982,chrysler lebaron medallion,26.00004605723497
1,6,232.0,112,2835,14.7,1982,ford granada l,22.000038971506513
3,4,144.0,96,2665,13.9,1982,toyota celica gt,32.00005668582766
1,4,135.0,84,2370,13.0,1982,dodge charger 2.2,36.000063771556114
1,4,151.0,90,2950,17.3,1982,chevrolet camaro,27.000047828667093
1,4,140.0,86,2790,15.6,1982,ford mustang gl,27.000047828667093
2,4,97.0,52,2130,24.6,1982,vw pickup,44.000077943013025
1,4,135.0,84,2295,11.6,1982,dodge rampage,32.00005668582766
1,4,120.0,79,2625,18.6,1982,ford ranger,28.000049600099192
1,4,119.0,82,2720,19.4,1982,chevy s-10,31.000054914395545
